Zona_Pais,01-2025,02-2025,03-2025,04-2025,05-2025,06-2025,07-2025,08-2025,09-2025,10-2025,11-2025,12-2025,Total_Ene_to_Dic2025,01-2026,02-2026,Total_Ene_Feb2026
,,,,,,,,,,,,,,23.0,6.0,29.0
,,,,,,,,,,,,,,4746.0,4837.0,9583.0
,,,,,,,,,,,,,,2.0,8.0,10.0
,,,,,,,,,,,,,,0.0,0.0,0.0
,,,,,,,,,,,,,,25.0,14.0,39.0
,,,,,,,,,,,,,,200.0,163.0,363.0
,,,,,,,,,,,,,,95.0,86.0,181.0
,,,,,,,,,,,,,,329.0,272.0,601.0
,,,,,,,,,,,,,,1815.0,1804.0,3619.0
,,,,,,,,,,,,,,25.0,24.0,49.0
,,,,,,,,,,,,,,72.0,71.0,143.0
,,,,,,,,,,,,,,3938.0,3823.0,7761.0
,,,,,,,,,,,,,,8262.0,9005.0,17267.0
,,,,,,,,,,,,,,235.0,420.0,655.0
,,,,,,,,,,,,,,442.0,415.0,857.0
,,,,,,,,,,,,,,992.0,1182.0,2174.0
,,,,,,,,,,,,,,264.0,300.0,564.0
